FLAG,CATEGORY,FUNCTION,DEPARTMENT,PROGRAM,OPERATING INDICATOR / ASSET,UOM,UOM DESCRIPTION,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,NOTE,CONTROLLER NOTE
Y,Operating Indicator,Public Works,Street Services,Street Tree and Parkway Maintenance Program,Trees trimmed by City Forces - not by contractors,#,,45539.0,43873.0,29633,31252,37038,31693,31844,36036.0,33850,23142,14847,19607,12720,11240,23181,--,--,--,--,--,,,
Y,Operating Indicator,Public Works,Street Services,Maintaining Streets,Small asphalt repairs,#,of square feet,1256617.0,862735.0,554887,881243,824393,908679,820592,1513764.0,1121767,1050411,1402144,1416500,1206612,1190244,1448820,--,--,--,--,--,,,
,Operating Indicator,Public Works,Street Services,Maintaining Streets,Response time to street pothole service requests,#,of Business days,2.0,2.0,2,1,1,3,2,1.0,,,,,,,,,,,,,,,
Y,Operating Indicator,Health and Sanitation,Sanitation,Maintenance and Operation of Flood Control Facilities,Catch basin cleaning,#,catch basins,91962.0,93441.0,84012,82213,64222,90279,95561,91021.0,114699,73772,65492,65000,68750,63070,87051,115000,112300,113068,123521,87239,,"Per Gerald Watson, the decrease from 2019 to 2020 was due to staffing levels & COVID-19.",
Y,Operating Indicator,Health and Sanitation,Sanitation,Solid Resources,% of Convert refuse collection fleet to clean fuels,%,,96.0,82.0,81,82,85,83,82,80.0,78,78,76,78,74,71,66,61,44,--,--,--,,,
Y,Operating Indicator,Health and Sanitation,Sanitation,Household Refuse Collection Program,Tons Collected - Refuse,#,of tons,1019761.0,1026327.0,1076972,1006473,964151,942041,928377,953670.0,907611,873104,852635,848890,851434,882005,867113,1034429,1034429,932196,955092,1009618,,,
Y,Operating Indicator,Health and Sanitation,Sanitation,Household Refuse Collection Program,Tons Collected - Yard trimmings,#,of tons,426112.0,402297.0,392610,425133,462175,411188,414729,417354.0,417325,425070,428237,522737,470527,492341,474657,555049,545467,507100,503646,495387,,"There's a natural decline in green waste in 2022 (aka yard trimmings) tonnage due to drought. To address the drought issue, the City has put water restrictions in place to limit outdoor watering to 2x a week. Lack of water can stunt the growth of trees and plants. Some residents also responded to the drought issue by converting to waterwise landscaping with less vegetation. When there's less vegetation, less green waste would be generated.",
Y,Operating Indicator,Health and Sanitation,Sanitation,Household Refuse Collection Program,Tons Collected - Recyclables,#,of tons,220547.0,234801.0,256040,262021,221089,210944,207756,224796.0,216542,209924,198143,150380,143338,148194,141314,170000,206369,181215,191024,193941,,,
Y,Operating Indicator,Health and Sanitation,Sanitation,Household Refuse Collection Program,Tons Collected - Bulky items,#,of tons,41861.0,19246.0,44299,55499,52090,54238,53766,91225.0,60101,46416,33720,34000,27640,32479,33330,33146,33146,33047,33038,31150,,subset of refuse,
Y,Operating Indicator,Transportation,Transportation,Transportation Capital Programming,Active traffic congestion relief projects,#,,74.0,78.0,75,64,68,69,64,62.0,96,81,79,84,78,59,45,58,43,--,--,--,,,
Y,Operating Indicator,Transportation,Transportation,Parking Management and Intersection Control,Citations written,#,,1704235.0,1733033.0,1805286,1593817,1775106,2086277,2237086,2302206.0,2395778,2489390,2659718,2654910,2522302,2461529,2587925,2784351,2806712,3102611,3205565,3101079,,,
Y,Operating Indicator,Transportation,Transportation,Parking Management and Intersection Control,Crossing guard assignments,#,,527.0,604.0,566,541,544,538,537,529.0,523,524,507,492,492,486,486,486,486,486,501,525,,,
Y,Operating Indicator,Transportation,Transportation,Parking Management and Intersection Control,Hours of intersection control,#,,42384.0,42167.0,31373,87624,62260,43019,53901,32400.0,27615,25997,23490,23730,30370,27622,42842,72618,90478,79415,56837,84262,,,
Y,Operating Indicator,Transportation,Transportation,Transportation Capital Programming,Increase in bicycle lane miles,#,of miles,9.0,23.0,26,32,40,10,10,12.0,9,23,41,101,51,17,10,7,4,--,--,--,,,
Y,Operating Indicator,Transportation,Transportation,Traffic Control Devices,New signals (Traffic and Pedestrian) installed,#,,20.0,11.0,19,29,16,32,32,19.0,31,11,19,32,105,--,--,--,--,--,--,--,,,
Y,Operating Indicator,Transportation,Transportation,Parking Management and Intersection Control,Peak hour tows and other tows,#,,54684.0,54723.0,62075,45025,52591,58501,61060,32647.0,31245,49910,39999,45921,48648,41244,44334,55057,54231,8813,18359,10000,,,
Y,Operating Indicator,Transportation,Transportation,Transportation System Operations,Red curb miles reinstalled/installed,#,,188.0,215.0,245,250,203,99,199,295.0,362,334,372,392,470,466,540,611,523,729,526,500,,,
Y,Operating Indicator,Transportation,Transportation,Transportation System Operations,Signs maintained/replaced,#,,39853.0,29398.0,39327,47876,38275,20978,28115,46189.0,52422,49029,7812,43728,66556,63019,89415,108032,96885,116414,30000,21000,,,
Y,Operating Indicator,Transportation,Transportation,Transportation System Operations,Temporary signs installed/removed,#,,604685.0,651765.0,641705,290468,654822,770211,726009,726200.0,646724,365068,436589,471376,423759,414268,347990,365389,383005,360573,--,--,,,
Y,Operating Indicator,Transportation,Transportation,Transportation System Operations,Thermoplastic longline striping installed/reinstalled,#,of miles,817.0,656.0,1231,890,654,1470,933,963.0,1326,137,61,151,925,540,632,617,717,820,883,850,,,
Y,Operating Indicator,Transportation,Transportation,Transit Operations,Total transit vehicle passenger trips,#,,15779761.0,15424048.0,13451113,9629615,14277781,19292796,18527770,19741533.0,23895017,24306283,25453959,26467594,23824821,27466279,30535921,31860898,30724278,29990787,30765034,30851486,,,
Y,Operating Indicator,Transportation,Transportation,Traffic Control Devices,Traffic signals repaired,#,,7531.0,12270.0,15302,694,694,735,626,725.0,766,10797,8832,8769,8832,--,--,--,--,--,--,--,,,
Y,Operating Indicator,Cultural and Recreational Services,City Tourism,Convention and Tourism Development,Exhibit hall events hosted,#,,126.0,99.0,54,-,89,138,148,153.0,167,156,126,140,137,149,161,161,180,175,130,126,,The LACC continued to be impacted by the pandemic during Fiscal Year 2022,
Y,Operating Indicator,Cultural and Recreational Services,City Tourism,Convention and Tourism Development,Hosted Citywide Conventions,#,,15.0,20.0,13,-,12,23,27,32.0,29,25,23,24,23,22,13,19,14,16,13,14,,"Citywide - an event held at LACC (booked by LATCB) that attracts out-of-town visitors and generates at least 3,000 room nights with 1,500 room nights on peak and utilizes no fewer than 3 hotels.",
Y,Operating Indicator,Cultural and Recreational Services,City Tourism,Convention and Tourism Development,Delegates attending Citywide Conventions,#,,233064.0,376525.0,124852,-,227059,362442,440634,503036.0,496886,320900,299274,215800,291700,363000,167160,--,--,--,--,--,,"Citywide - an event held at LACC (booked by LATCB) that attracts out-of-town visitors and generates at least 3,000 room nights with 1,500 room nights on peak and utilizes no fewer than 3 hotels.",
Y,Operating Indicator,Cultural and Recreational Services,Cultural Affairs,Community Arts,Art exhibitions and gallery programs presented,#,Community Arts,1949.0,2902.0,3031,1502,2079,2852,1371,692.0,655,1082,65,60,52,27,46,52,70,70,70,70,,,
Y,Operating Indicator,Cultural and Recreational Services,Cultural Affairs,Community Arts,Special events/festivals,#,Community Arts,537.0,371.0,486,269,146,150,149,133.0,118,142,20,17,15,18,30,33,104,104,104,104,,,
N,Operating Indicator,Cultural and Recreational Services,Cultural Affairs,Performing Arts,Music/theatre programs presented,#,Performing Arts,972.0,494.0,450,227,308,415,591,751.0,505,759,--,--,--,--,--,--,--,390,400,292,,,
Y,Operating Indicator,Cultural and Recreational Services,Cultural Affairs,Community Arts,Art class enrollment,#,Community Arts,156938.0,138867.0,150052,136966,162216,228646,185546,182078.0,121356,212506,15000,14000,13500,13000,15000,16850,--,--,--,--,,,
Y,Operating Indicator,Cultural and Recreational Services,Cultural Affairs,Performing Arts,Theater attendance,#,Performing Arts,82556.0,80242.0,51360,26559,149812,81379,98498,112200.0,68129,91166,150000,140000,128625,115000,121014,120000,--,--,--,--,,,
Y,Operating Indicator,Cultural and Recreational Services,El Pueblo,Events,Cultural and special events,#,,133.0,76.0,30,32,114,93,122,152.0,137,73,119,--,--,--,--,--,--,--,--,--,,,
Y,Operating Indicator,Cultural and Recreational Services,El Pueblo,History and Museums,Museum visitors,#,,267719.0,256832.0,46665,82239,283557,443648,493460,656322.0,582623,627301,588517,--,--,--,--,--,--,--,--,--,,,
Y,Operating Indicator,Cultural and Recreational Services,Library,Public Library Services,Items circulated,#,,25569226.0,21866853.0,18874937,15203658,16282884,17153200,16142466,16276897.0,16353158,15800499,15086605,14983679,15337032,15144804,16524292,15925000,15900000,15800000,15639485,15744303,,,
Y,Operating Indicator,Cultural and Recreational Services,Library,Public Library Services,Registered borrowers,#,,3205992.0,3029366.0,2863691,2696713,2546442,2338648,2120032,1665288.0,1411764,1236890,1148250,1099165,1076578,1231764,1368354,1475000,1445000,1440000,1429345,1424922,,,
Y,Operating Indicator,Cultural and Recreational Services,Library,Public Library Services,Number of people visiting library facilities,#,,5747048.0,4545301.0,3710717,36828,6591517,10214070,11198977,13145751.0,13504301,14093505,14584162,14096741,13821289,12673629,16041407,16400000,16100000,16003909,14032869,14011932,,,
Y,Operating Indicator,Cultural and Recreational Services,Library,Public Library Services,Attendance level for cultural programming,#,,227794.0,160784.0,50655,79116,270482,349820,402881,417831.0,368339,371810,355211,531498,332937,301387,283000,282380,279560,--,--,--,,,
Y,Operating Indicator,Cultural and Recreational Services,Recreation and Parks,Recreational Opportunities,Aquatics - Pool attendance,#,,3017416.0,2753968.0,1656417,216335,920940,2764705,2592208,2430377.0,2962513,2648817,2951899,3255404,2696366,2635207,3296327,2811807,2849338,--,--,--,,,
Y,Operating Indicator,Cultural and Recreational Services,Recreation and Parks,Recreational Opportunities,Camps - Camper days,#,of days,257927.0,103468.0,207097,91301,67065,63060,73929,70654.0,65283,66626,62427,55624,56204,18900,34060,39513,52000,50000,48454,52652,,,
Y,Operating Indicator,Cultural and Recreational Services,Recreation and Parks,Recreational Opportunities,Municipal Sports - Team sports participants,#,,17172.0,15736.0,35987,14148,48405,55570,75306,81572.0,86806,83045,90815,101916,94141,72502,75500,76543,76000,74000,76498,73307,,,
Y,Operating Indicator,Cultural and Recreational Services,Recreation and Parks,Museums and Educational,Visitors to museums (excluding Griffith Observatory),#,,525528.0,434526.0,366888,129094,368514,496342,541539,539173.0,537762,472044,429085,310000,325000,--,--,--,--,--,--,--,,,
Y,Operating Indicator,Cultural and Recreational Services,Recreation and Parks,Advance Planning,New parks opened to the public,#,,1.0,1.0,-,2,2,4,2,5.0,8,7,10,8,16,--,--,--,--,--,--,--,,,
Y,Operating Indicator,Cultural and Recreational Services,Recreation and Parks,Educational Exhibits,Observatory Attendance,#,,1564508.0,1250733.0,653836,10575,1080718,1532916,1628315,1565700.0,1417282,1264376,1155104,1033429,,,,,,,,,,,
Y,Operating Indicator,Cultural and Recreational Services,Recreation and Parks,Expo Center,Number of visitors to the Expo Center,#,,859617.0,747493.0,534672,68995,628184,744509,709056,675291.0,456607,416053,448860,889000,819000,--,--,--,--,--,--,--,,,
Y,Operating Indicator,Cultural and Recreational Services,Zoo,Educational Exhibits,Attendance,#,,1596645.0,1515878.0,1408915,656689,1191773,1803699,1802387,1743795.0,1784786,1752279,1550343,1506274,1660450,1543232,1459080,1556162,1602171,1564674,1523469,1396538,,,
Y,Operating Indicator,Community Development,Aging,Senior Social Services,Prop A - One-way transportation trips,#,One Way Trips,86386.0,84006.0,84838,93958,84038,121155,125648,123253.0,130175,132101,131269,129354,128300,134412,135057,134849,142152,133807,130200,145000,,,
Y,Operating Indicator,Community Development,Aging,Senior Social Services,Congregate meals served,#,Meals Served,576155.0,470086.0,1381882,1167267,749667,624406,666705,681524.0,697731,726873,711895,768560,834063,844074,845797,840605,835229,859169,906858,964196,,,
Y,Operating Indicator,Community Development,Aging,Senior Social Services,Homebound meals served,#,Meals Served,904948.0,833936.0,742785,998532,813338,707325,721423,725079.0,737256,739957,755480,768536,756462,781553,809649,791422,817630,816581,845904,839460,,,
Y,Operating Indicator,Community Development,Aging,Family Caregiver Services,Community education participants,#,Participant Total,623.0,936.0,1662,2596,1476,4145,4515,2652.0,2486,2872,8490,7682,14820,13026,13412,12012,2668,3032,3537,4811,,,
,Operating Indicator,Community Development,City Planning,Community Planning,No. of Community Plans Less Than 10 Years Old,#,,15.0,12.0,7,6,6,6,6,3.0,5,2,2,3,4,--,--,--,--,--,--,--,--,,
Y,Operating Indicator,Community Development,City Planning,Geographic Project Planning,Annual Number of Cases Completed,#,,2500.0,3220.0,2983,3078,3005,3042,2853,2110.0,3522,2133,1774,1549,1432,--,--,--,--,--,--,--,--,,
N,Operating Indicator,Community Development,City Planning,Major Projects and Project Plan Support,Entitlement Cases Requiring an Environmental Impact Report,#,,23.0,29.0,29,29,29,28,20,17.0,11,9,--,--,--,--,--,--,--,--,--,--,--,,
Y,Operating Indicator,Community Development,Disability,ADA Compliance,Sign language and captioning requests processed,#,,195.0,176.0,186,303,397,490,327,94.0,389,397,245,342,294,--,--,--,--,--,--,--,,,
Y,Operating Indicator,Community Development,Disability,AIDS Coordination,Syringes removed,#,in millions,1.0,2.0,2,2,3,2,1,1.0,1,1,1,1,1,--,--,--,--,--,--,--,,,
Y,Operating Indicator,Community Development,Disability,AIDS Coordination,Individuals serviced by Prevention Program,#,,54083.0,53927.0,51270,36956,27945,33640,23000,25000.0,27528,25569,46877,--,--,--,--,--,--,--,--,--,,,
Y,Operating Indicator,Community Development,Disability,AIDS Coordination,HIV tests/referrals provided,#,,5299.0,952.0,17242,19491,18793,18630,18000,10000.0,-,-,37176,,,--,,,,--,--,--,,,
Y,Operating Indicator,Community Development,Economic and Workforce Development,Economic Development,Businesses established by Business Source,#,,255.0,270.0,203,141,167,128,232,324.0,291,205,221,231,64,182,--,--,--,--,--,--,,,Department name changed from Community Development in Fiscal Year 2013
Y,Operating Indicator,Community Development,Economic and Workforce Development,Workforce Development,Number of total WIOA enrollments,#,,13749.0,13181.0,13389,13860,23182,26898,32430,32075.0,34946,22302,3900,4695,4218,6237,--,--,--,--,--,--,,,
Y,Operating Indicator,Community Development,Economic and Workforce Development,Economic Development,Number of new jobs created through business source and lending,#,,561.0,631.0,644,301,898,1162,1069,1364.0,1039,2000,331,,,,,,,,,,,,
Y,Operating Indicator,Community Development,Economic and Workforce Development,Workforce Development,Number of HireLA Youth placed in employment,#,,6004.0,8461.0,13262,10817,7264,20060,16834,15500.0,15070,11382,10256,,,,,,,,,,,,
Y,Operating Indicator,Community Development,Housing and Community Investment,Housing Preservation and Production,Low income units financed by GAP under the Homeownership Program,#,Loans Funded,47.0,41.0,22,59,87,72,56,44.0,76,80,91,--,--,--,--,57,133,120,125,90,,Source: Gloria Torres/Ryan Elefson,
Y,Operating Indicator,Community Development,Housing and Community Investment,Houising Strategies & Services,Number of housing units made lead safe,#,number of units remediated,33.0,28.0,3,0,26,24,48,86.0,61,84,114,121,195,41,80,138,135,--,--,--,,Soruce: Lisseth Romero - 213.808.8828 Sara Wall,
Y,Operating Indicator,Community Development,Housing and Community Investment,Compliance Monitoring,Affordable units monitored,#,,51395.0,48215.0,47486,46043,45875,43275,41812,42757.0,40218,46041,25061,21578,20226,20684,15121,18000,18000,17476,17000,15000,,Source: Brittanya Murillo- 213.808.8976; Daniel De Vera,
Y,Operating Indicator,Community Development,Housing and Community Investment,Code Enforcement,Periodic unit inspections,#,number of rental units inspected annually,123923.0,120547.0,132066,74077,86095,155388,178646,177795.0,169568,164655,165928,180484,178160,176908,189611,180776,192316,213224,152106,153000,,Source: Daniel Murcia,
Y,Operating Indicator,Community Development,Housing and Community Investment,Code Enforcement,Multi-family unit inspected every 4 years,#,number of rental units inspected per inspection cycle,840000.0,800000.0,760000,760000,750000,750000,750000,720000.0,742523,720000,180000,179728,189771,180000,183741,183741,--,--,--,--,,Source: Daniel Murcia,
Y,Operating Indicator,Community Development,Housing and Community Investment,Rent,Rent adjustments processed,#,Number of closed cases,1272.0,1193.0,1068,1106,1231,1067,669,559.0,405,476,381,--,--,--,--,550,525,575,550,510,,Source Valerie Steffens - 213.922.9631,
Y,Operating Indicator,Community Development,Housing and Community Investment,Rent,Rental units registered,#,,395395.0,555468.0,559825,423829,445977,514464,508064,528716.0,532046,528395,530894,529106,531603,531999,532691,518000,518000,518658,600000,600000,,Source Valerie Steffens - 213.922.9631,
Y,Operating Indicator,Community Development,Housing and Community Investment,Rent,Tenant complaints processed,#,,10058.0,8673.0,8711,6924,10163,9405,9728,7661.0,6897,6248,5874,5780,5426,6408,5632,8900,8100,7404,8000,8000,,Source Valerie Steffens - 213.922.9631,
Y,Operating Indicator,Community Development,Housing and Community Investment,Rent,Percent of complaints resolved within 120 days,%,,66.0,78.0,92,93,87,88,79,78.0,79,89,88,--,--,--,--,--,--,--,--,--,,Source Valerie Steffens - 213.922.9631,
Y,Operating Indicator,Community Development,Housing and Community Investment,Finance & Development,Number of new funded transit oriented development housing units,#,transit oriented development units financed,1427.0,855.0,2472,820,824,1653,669,459.0,585,526,828,--,--,--,--,--,--,--,--,--,,"Source: Yaneli Ruiz - 213.808.8951 - counting ALL units, including bond only and ahsc only",
Y,Operating Indicator,Community Development,Housing and Community Investment,Strategic Planning & Policy Development,Number of housing units contacted that are at risk of losing their affordability restrictions,#,"Number of at-risk tenants educated about their tenant rights, responsibilities and options",7.0,325.0,129,474,1491,1285,82,1364.0,3441,842,344,--,--,--,--,--,--,--,--,--,,Source: Daniel Thompson -,
Y,Operating Indicator,Business-Type Activities,Airports,,Aircraft movements,#,in thousands,912.0,875.0,846,664,770,937,957,933.0,970,944,974,939,976,989,1025,1049,1249,1225,1220,1270,1280,,
Y,Operating Indicator,Business-Type Activities,Airports,,Passengers,#,in millions,77.0,71.0,61,29,63,88,87,83.0,82,76,73,69,67,65,63,62,69,69,69,68,65,,
Y,Operating Indicator,Business-Type Activities,Airports,,Air cargo,#,in thousand tons,2328.0,2375.0,2945,2817,2285,2401,2416,2316.0,2655,2588,2393,2400,2366,2296,2242,2018,2519,2631,2677,2718,2661,,
Y,Operating Indicator,Business-Type Activities,Harbor,,Inbound tonnage,#,in millions tons,99.0,91.0,113,114,100,114,103,106.0,106,103,99,93,98,94,88,94,105,118,113,102,104,,
Y,Operating Indicator,Business-Type Activities,Harbor,,Outbound tonnage,#,in millions tons,91.0,88.0,109,102,84,97,88,92.0,79,75,74,72,75,68,67,66,65,72,69,60,58,,
Y,Operating Indicator,Business-Type Activities,Harbor,,Containerized cargo volume,#,in millions of TEUs,9.0,9.0,10,10,9,10,9,9.0,8,8,8,8,8,8,7,7,8,9,8,7,7,,
Y,Operating Indicator,Business-Type Activities,Harbor,,Vessel arrivals,#,,1735.0,1757.0,1917,1668,1731,1917,1904,2060.0,2014,1846,2196,2089,2100,2236,2124,2322,2467,2920,2771,2646,2812,,
Y,Operating Indicator,Business-Type Activities,Harbor,,Cruise passengers,#,,1097019.0,1445613.0,490978,6221,487013,586786,479388,534484.0,676644,578902,541418,355875,515827,667434,802899,990965,1191449,1194984,1205947,1097204,803308,Revised 2017 Last year data,
Y,Operating Indicator,Business-Type Activities,Power,,Kilowatt hours sold,#,of hours in billions,22.0,23.0,23,23,22,23,23,24.0,25,25,26,26,25,25,26,25,26,26,26,25,25,,
Y,Operating Indicator,Business-Type Activities,Power,,Customers- number,#,in thousands,1588.0,1575.0,1565,1547,1538,1529,1516,1507.0,1499,1493,1503,1479,1471,1461,1447,1452,1446,1448,1445,1437,1428,,
Y,Operating Indicator,Business-Type Activities,Power,,Energy production,#,of kwh in billions,22.0,24.0,24,24,24,25,25,26.0,27,27,27,27,28,27,28,29,29,28,30,29,29,,
Y,Operating Indicator,Business-Type Activities,Power,,Kilowatt hours of power from energy efficiency,#,of kilowatt hours,277400.0,328200000.0,398900000,300300000,349616610,476850850,445630321,475091080.0,412191134,296379450,251556177,--,--,--,--,--,--,--,--,--,--,,
Y,Operating Indicator,Business-Type Activities,Power,,Cumulative Feed in Tariff (FiT) installations,#,of kilowatts,110681.0,102082.0,97429,86800,70300,65578,46700,29250.0,11519,7532,800,--,--,--,--,--,--,--,--,--,--,,
Y,Operating Indicator,Business-Type Activities,Power,,Solar Incentive Program (SIP) installed capacity,#,of kilowatts,0.0,451.0,129,7130,6000,32330,28730,44599.0,40710,27250,28861,24505,18919,13518,4650,4699,2078,--,--,--,--,,
Y,Operating Indicator,Business-Type Activities,Power,,Solar Incentive Program (SIP) cumulative capacity,#,of kilowatts,295943.0,295943.0,295492,295358,271850,282858,250528,221798.0,176330,135620,105466,79605,55099,36181,22663,17248,12549,10471,--,--,--,,
Y,Operating Indicator,Business-Type Activities,Power,,System Average Interruption Frequency Index - SAIFI,#,of interruptions per customer,1.0,1.0,1,1,1,1,1,1.0,1,1,0,0,1,1,1,1,1,--,--,--,--,,
Y,Operating Indicator,Business-Type Activities,Power,,System Average Interruption Duration Index - SAIDI,#,of minutes per customer,111.0,213.0,115,161,102,175,150,162.0,125,85,62,72,190,115,121,78,122,--,--,--,--,,
Y,Operating Indicator,Business-Type Activities,Power,,"Power poles replaced, installed and reinforced",#,,2931.0,3459.0,3799,3944,4033,3757,3018,2656.0,2436,2393,1599,1135,1813,2211,3113,2745,--,--,--,--,--,,
Y,Operating Indicator,Business-Type Activities,Wastewater,Maintenance and Operation of Wastewater Facilities,HWRP wastewater treatment,#,in MGD,267.0,262.0,251,248,257,267,259,258.0,252,263,279,285,288,297,299,314,322,341,337,358,339,,
Y,Operating Indicator,Business-Type Activities,Wastewater,Maintenance and Operation of Wastewater Facilities,HWRP wastewater recycled,#,in MGD,56.0,60.0,48,73,73,68,74,73.0,47,45,47,46,45,45,45,44,45,44,44,44,42,,
Y,Operating Indicator,Business-Type Activities,Wastewater,Maintenance and Operation of Wastewater Facilities,TIWRP wastewater treatment,#,in MGD,15.0,15.0,14,12,12,12,12,14.0,15,16,15,16,16,15,16,16,16,16,16,16,,,
Y,Operating Indicator,Business-Type Activities,Wastewater,Maintenance and Operation of Wastewater Facilities,TIWRP wastewater recycled,#,in MGD,6.0,5.7,6,5,4,2,3,2.0,4,5,4,4,1,2,4,5,4,3,1,1,,,
Y,Operating Indicator,Business-Type Activities,Wastewater,Maintenance and Operation of Wastewater Facilities,LAGWRP wastewater treatment,#,in MGD,15.0,16.0,17,17,17,17,17,16.0,17,18,18,19,19,20,20,20,19,16,13,16,,,
Y,Operating Indicator,Business-Type Activities,Wastewater,Maintenance and Operation of Wastewater Facilities,LAGWRP wastewater recycled,#,in MGD,11.0,11.0,13,14,14,14,15,14.0,14,14,15,16,16,17,18,17,17,14,4,3,,,
Y,Operating Indicator,Business-Type Activities,Wastewater,Maintenance and Operation of Wastewater Facilities,DCTWRP wastewater treatment,#,in MGD,44.0,43.0,43,39,41,43,43,49.0,51,47,43,57,57,52,52,65,62,54,49,57,,,
Y,Operating Indicator,Business-Type Activities,Wastewater,Maintenance and Operation of Wastewater Facilities,DCTWRP water recycled,#,in MGD,30.0,32.0,31,28,29,29,28,29.0,31,32,33,28,28,32,34,32,30,25,25,26,,,
Y,Operating Indicator,Business-Type Activities,Wastewater,Maintenance and Operation of Wastewater Facilities,CWCD sewer cleaning - miles of sewers cleaned,#,of miles,6819.0,6790.0,6644,6640,6393,6787,6870,6830.0,7127,6928,6614,6750,6750,6093,5903,5000,4981,4930,4797,3627,,,
Y,Operating Indicator,Business-Type Activities,Water,,Gallons sold,#,of gallons in billions,135.0,134.0,149,157,150,146,154,147.0,149,162,177,178,170,169,166,189,199,207,194,191,203,,
Y,Operating Indicator,Business-Type Activities,Water,,Customers - number,#,in thousands,698.0,697.0,694,692,689,687,683,680.0,678,676,679,676,674,667,659,666,666,667,670,664,662,the number of distinct service agreements and addresses.,
N,Operating Indicator,Business-Type Activities,Water,,Per capita water use,#,of gallons per day,104.0,101.0,113,113,105,105,112,102.0,104,114,123,131,123,122,125,141,151,156,147,--,,"Reported annually by calendar year. For example, 2013 is for calendar year 2013, not FY 2013.","Reported annually by calendar year. For example, 2013 is for calendar year 2013, not FY 2013."
Y,Operating Indicator,Business-Type Activities,Water,,Water main breaks,#,of breaks,1059.0,1375.0,1114,1064,1099,1495,1450,1390.0,1547,1241,1146,1148,1319,1237,1453,1422,1363,2031,--,--,,,
Y,Operating Indicator,Business-Type Activities,Water,,Cumulative miles of water main replaced,#,of miles,34.0,38.0,32,30,27,32,41,242.0,207,175,154,131,102,85,63,47,29,14,--,--,,,
Y,Operating Indicator,Business-Type Activities,Water,,Water purchased from MWD,%,% of total water supply,32.0,51.0,75,63,32,30,36,45.0,71,71,76,69,39,31,48,71,65,44,--,--,,,
Y,Operating Indicator,Business-Type Activities,Water,,Percentage of DWP water sourced from local groundwater,%,of DWP Water,2.0,7.0,11,11,7,7,4,10.0,16,18,12,10,11,9,14,10,11,14,--,--,,,
Y,Operating Indicator,Business-Type Activities,Water,,Recycled water use,#,of acre feet,10029.0,10103.0,12031,11405,9682,7511,9971,8030.0,9910,10097,10536,7480,6953,--,--,--,--,--,--,--,,,
